"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"01-Nov-2022","EQ","2,770.15","2,784.00","2,741.00","2,761.50","2,755.00","2,754.95","2,756.46","2,791.00","1,825.05",890107,"2,453,544,061.50",48451
"31-Oct-2022","EQ","2,750.00","2,791.00","2,738.25","2,736.40","2,765.00","2,761.50","2,761.11","2,791.00","1,825.05",1144647,"3,160,496,134.10",66626
"28-Oct-2022","EQ","2,708.95","2,738.90","2,693.25","2,703.80","2,733.00","2,736.40","2,722.82","2,768.00","1,825.05",1003160,"2,731,421,674.25",62946
"27-Oct-2022","EQ","2,700.00","2,765.00","2,680.00","2,670.30","2,706.00","2,703.80","2,720.73","2,768.00","1,825.05",2117791,"5,761,942,288.75",101391
"25-Oct-2022","EQ","2,697.35","2,697.35","2,662.00","2,683.90","2,669.55","2,670.30","2,674.07","2,768.00","1,825.05",505759,"1,352,434,594.40",37515
"24-Oct-2022","EQ","2,697.00","2,699.90","2,679.15","2,665.65","2,682.00","2,683.90","2,687.26","2,768.00","1,825.05",184595,"496,055,391.30",19559
"21-Oct-2022","EQ","2,650.00","2,679.65","2,640.05","2,631.50","2,670.65","2,665.65","2,666.35","2,768.00","1,825.05",986521,"2,630,411,600.50",50897
"20-Oct-2022","EQ","2,640.00","2,644.00","2,581.35","2,644.55","2,633.00","2,631.50","2,613.06","2,768.00","1,825.05",1022636,"2,672,209,505.70",69521
"19-Oct-2022","EQ","2,654.35","2,677.00","2,640.00","2,641.10","2,648.00","2,644.55","2,658.87","2,768.00","1,825.05",1001916,"2,663,964,218.00",50371
"18-Oct-2022","EQ","2,638.15","2,664.70","2,623.15","2,625.00","2,642.00","2,641.10","2,642.32","2,768.00","1,825.05",771852,"2,039,477,766.75",40599
"17-Oct-2022","EQ","2,613.90","2,634.90","2,602.55","2,617.80","2,624.80","2,625.00","2,623.11","2,768.00","1,825.05",1111199,"2,914,802,446.00",54989
"14-Oct-2022","EQ","2,640.00","2,663.60","2,607.75","2,598.65","2,619.85","2,617.80","2,638.85","2,768.00","1,825.05",1326916,"3,501,527,732.55",66301
"13-Oct-2022","EQ","2,610.00","2,628.00","2,591.00","2,621.35","2,598.00","2,598.65","2,603.92","2,768.00","1,825.05",1038687,"2,704,655,437.85",41122
"12-Oct-2022","EQ","2,630.00","2,644.90","2,606.00","2,624.50","2,619.00","2,621.35","2,623.26","2,768.00","1,825.05",1131702,"2,968,744,543.45",62764
"11-Oct-2022","EQ","2,693.00","2,694.00","2,616.40","2,680.10","2,621.00","2,624.50","2,642.51","2,768.00","1,825.05",1067626,"2,821,208,990.25",74108
"10-Oct-2022","EQ","2,710.00","2,727.90","2,658.00","2,730.50","2,683.95","2,680.10","2,699.33","2,768.00","1,825.05",1290447,"3,483,346,218.40",75217
"07-Oct-2022","EQ","2,690.00","2,745.00","2,675.00","2,592.85","2,730.20","2,730.50","2,721.12","2,768.00","1,825.05",5284814,"14,380,608,249.65",199594
"06-Oct-2022","EQ","2,598.05","2,620.00","2,581.60","2,585.10","2,588.00","2,592.85","2,601.79","2,768.00","1,825.05",1409852,"3,668,138,279.55",142313
"04-Oct-2022","EQ","2,629.00","2,629.00","2,571.65","2,574.20","2,579.00","2,585.10","2,590.07","2,768.00","1,825.05",1291070,"3,343,967,110.20",107630
"03-Oct-2022","EQ","2,625.00","2,625.00","2,555.60","2,606.95","2,577.30","2,574.20","2,580.15","2,768.00","1,825.05",1049142,"2,706,942,959.50",77964
